"ind1.id","ind2.id","wang","Ind.1.sex","Ind.1.pop","Ind.1.year","Ind.2.sex","Ind.2.pop","Ind.2.year"
"Dh_14.001","Dh_14.002",0.1335,"M","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.001","Dh_14.003",0.0961,"M","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.001","Dh_14.004",-0.1376,"M","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.001","Dh_14.005",-0.2662,"M","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.001","Dh_14.006",0.0056,"M","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.001","Dh_14.007",0.0097,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.001","Dh_14.009",-0.0725,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.001","Dh_14.010",-0.066,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.001","Dh_14.011",-0.0887,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.001","Dh_14.012",-0.0719,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.001","Dh_14.013",0.0081,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.001","Dh_16.093",-0.0726,"M","Dolphin Island",2012,"M","Dolphin Island",2015
"Dh_14.001","Dh_16.311",-0.0411,"M","Dolphin Island",2012,"M","Dolphin Island",2014
"Dh_14.002","Dh_14.003",0.0065,"M","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.002","Dh_14.004",-0.0663,"M","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.002","Dh_14.005",-0.2767,"M","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.002","Dh_14.006",0.0994,"M","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.002","Dh_14.007",-0.0421,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.002","Dh_14.009",-0.0863,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.002","Dh_14.010",-0.0475,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.002","Dh_14.011",-0.058,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.002","Dh_14.012",-0.1239,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.002","Dh_14.013",0.0447,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.002","Dh_16.093",-0.0351,"M","Dolphin Island",2012,"M","Dolphin Island",2015
"Dh_14.002","Dh_16.311",-0.058,"M","Dolphin Island",2012,"M","Dolphin Island",2014
"Dh_14.003","Dh_14.004",-0.0912,"F","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.003","Dh_14.005",-0.2404,"F","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.003","Dh_14.006",-0.0183,"F","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.003","Dh_14.007",0.0537,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.003","Dh_14.009",-0.1056,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.003","Dh_14.010",-0.0536,"F","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.003","Dh_14.011",-0.0079,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.003","Dh_14.012",-0.1324,"F","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.003","Dh_14.013",0.0603,"F","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.003","Dh_16.093",-0.054,"F","Dolphin Island",2012,"M","Dolphin Island",2015
"Dh_14.003","Dh_16.311",-0.0243,"F","Dolphin Island",2012,"M","Dolphin Island",2014
"Dh_14.004","Dh_14.005",-0.2119,"M","Dolphin Island",2012,"M","Dolphin Island",2012
"Dh_14.004","Dh_14.006",-0.0087,"M","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.004","Dh_14.007",-0.1688,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.004","Dh_14.009",-0.0863,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.004","Dh_14.010",-0.2039,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.004","Dh_14.011",-0.1075,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.004","Dh_14.012",-0.1223,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.004","Dh_14.013",-0.1283,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.004","Dh_16.093",-0.0106,"M","Dolphin Island",2012,"M","Dolphin Island",2015
"Dh_14.004","Dh_16.311",-0.1279,"M","Dolphin Island",2012,"M","Dolphin Island",2014
"Dh_14.005","Dh_14.006",-0.2047,"M","Dolphin Island",2012,"F","Dolphin Island",2012
"Dh_14.005","Dh_14.007",-0.2832,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.005","Dh_14.009",-0.3507,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.005","Dh_14.010",-0.3287,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.005","Dh_14.011",-0.2968,"M","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.005","Dh_14.012",-0.3113,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.005","Dh_14.013",-0.2704,"M","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.005","Dh_16.093",-0.2344,"M","Dolphin Island",2012,"M","Dolphin Island",2015
"Dh_14.005","Dh_16.311",-0.2784,"M","Dolphin Island",2012,"M","Dolphin Island",2014
"Dh_14.006","Dh_14.007",-0.0276,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.006","Dh_14.009",-0.1133,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.006","Dh_14.010",-0.0808,"F","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.006","Dh_14.011",0.1342,"F","Dolphin Island",2012,"M","Dolphin Island",2013
"Dh_14.006","Dh_14.012",8e-04,"F","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.006","Dh_14.013",0.0584,"F","Dolphin Island",2012,"F","Dolphin Island",2013
"Dh_14.006","Dh_16.093",0.061,"F","Dolphin Island",2012,"M","Dolphin Island",2015
"Dh_14.006","Dh_16.311",-0.0778,"F","Dolphin Island",2012,"M","Dolphin Island",2014
"Dh_14.007","Dh_14.009",-0.0435,"M","Dolphin Island",2013,"M","Dolphin Island",2013
"Dh_14.007","Dh_14.010",-0.0993,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.007","Dh_14.011",-0.0469,"M","Dolphin Island",2013,"M","Dolphin Island",2013
"Dh_14.007","Dh_14.012",0.0148,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.007","Dh_14.013",0.0237,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.007","Dh_16.093",-0.088,"M","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.007","Dh_16.311",-0.0671,"M","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_14.009","Dh_14.010",-0.0839,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.009","Dh_14.011",-0.0734,"M","Dolphin Island",2013,"M","Dolphin Island",2013
"Dh_14.009","Dh_14.012",-0.1523,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.009","Dh_14.013",-0.1002,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.009","Dh_16.093",-0.0831,"M","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.009","Dh_16.311",-0.111,"M","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_14.010","Dh_14.011",-0.1284,"F","Dolphin Island",2013,"M","Dolphin Island",2013
"Dh_14.010","Dh_14.012",-0.1525,"F","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.010","Dh_14.013",-0.0955,"F","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.010","Dh_16.093",0.0351,"F","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.010","Dh_16.311",-0.0384,"F","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_14.011","Dh_14.012",-0.1686,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.011","Dh_14.013",0.0095,"M","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.011","Dh_16.093",-0.0988,"M","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.011","Dh_16.311",-0.0943,"M","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_14.012","Dh_14.013",-0.1129,"F","Dolphin Island",2013,"F","Dolphin Island",2013
"Dh_14.012","Dh_16.093",-0.0828,"F","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.012","Dh_16.311",-0.173,"F","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_14.013","Dh_16.093",-0.1516,"F","Dolphin Island",2013,"M","Dolphin Island",2015
"Dh_14.013","Dh_16.311",-0.0627,"F","Dolphin Island",2013,"M","Dolphin Island",2014
"Dh_16.093","Dh_16.311",-0.033,"M","Dolphin Island",2015,"M","Dolphin Island",2014
